severity,graphicId,displayName,usage,maps,impact,category,suggested,confidence,hasPreview,classicAssetPath,sourceTexturePath,sourceExt,sourceExists,sourceLoadsAsTexture,cropValid,cropInsideTexture,fallbackCandidates,issues,classificationReason
"WARNING",6482,"GRH 6482 (tex_6215.png)",11,5,136,"Grass","Grass",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6482.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio verde 0.95, sat 0.72"
"WARNING",6483,"GRH 6483 (tex_6215.png)",11,5,136,"Grass","Grass",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6483.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio verde 0.89, sat 0.72"
"WARNING",6484,"GRH 6484 (tex_6215.png)",11,5,136,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6484.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.96, sat 0.46"
"WARNING",6485,"GRH 6485 (tex_6215.png)",11,5,136,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6485.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.94, sat 0.48"
"WARNING",6486,"GRH 6486 (tex_6215.png)",11,5,136,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6486.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.83, sat 0.50"
"WARNING",6487,"GRH 6487 (tex_6215.png)",11,5,136,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6487.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.90, sat 0.49"
"WARNING",6543,"GRH 6543 (tex_6215.png)",11,5,136,"Grass","Grass",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6543.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio verde 0.69, sat 0.68"
"WARNING",6210,"GRH 6210 (sin textura)",10,5,135,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
"WARNING",6211,"GRH 6211 (sin textura)",10,5,135,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
"WARNING",6214,"GRH 6214 (sin textura)",10,5,135,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
"WARNING",6215,"GRH 6215 (sin textura)",10,5,135,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
"WARNING",6218,"GRH 6218 (sin textura)",10,5,135,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
